date,cases
12/1/20,4048
12/2/20,3943
12/3/20,2998
12/4/20,3708
12/5/20,2600
12/6/20,2211
12/7/20,2329
12/8/20,2574
12/9/20,3428
12/10/20,3201
12/11/20,2711
12/12/20,2096
12/13/20,1963
12/14/20,1934
12/15/20,3037
12/16/20,3212
12/17/20,2684
12/18/20,2431
12/19/20,2014
12/20/20,1803
12/21/20,2286
12/22/20,2654
12/23/20,2925
12/24/20,2547
12/25/20,991
12/26/20,815
12/27/20,1711
12/28/20,2752
12/29/20,2631
12/30/20,4706
12/31/20,3123
1/1/21,1956
1/2/21,1846
1/3/21,2174
1/4/21,3389
1/5/21,3821
1/6/21,4628
1/7/21,3845
1/8/21,2630
1/9/21,2325
1/10/21,1475
1/11/21,2149
1/12/21,2918
1/13/21,2757
1/14/21,2424
1/15/21,2159
1/16/21,1581
1/17/21,1072
1/18/21,1308
1/19/21,2152
1/20/21,2094
1/21/21,2640
1/22/21,1764
1/23/21,1507
1/24/21,851
1/25/21,1417
1/26/21,2014
1/27/21,1766
1/28/21,1510
1/29/21,1480
1/30/21,1191
1/31/21,585
2/1/21,1200
2/2/21,1591
2/3/21,1273
2/4/21,1222
2/5/21,1208
2/6/21,913
2/7/21,514
2/8/21,930
2/9/21,1304
2/10/21,1250
2/11/21,1042
2/12/21,943
2/13/21,711
2/14/21,463
2/15/21,581
2/16/21,897
2/17/21,1147
2/18/21,858
2/19/21,783
2/20/21,705
2/21/21,334
2/22/21,714
2/23/21,823
2/24/21,833
2/25/21,655
2/26/21,687
2/27/21,465
2/28/21,263
3/1/21,483
3/2/21,723
3/3/21,618
3/4/21,553
3/5/21,560
3/6/21,415
3/7/21,253
3/8/21,558
3/9/21,654
3/10/21,662
3/11/21,521
3/12/21,494
3/13/21,399
3/14/21,221
3/15/21,484
3/16/21,697
3/17/21,566
3/18/21,447
3/19/21,457
3/20/21,371
3/21/21,162
3/22/21,386
3/23/21,566
3/24/21,531
3/25/21,450
3/26/21,453
3/27/21,387
3/28/21,191
3/29/21,370
3/30/21,521
3/31/21,495
4/1/21,425
4/2/21,447
4/3/21,343
4/4/21,173
4/5/21,306
4/6/21,612
4/7/21,485
4/8/21,443
4/9/21,404
4/10/21,344
4/11/21,184
4/12/21,361
4/13/21,532
4/14/21,453
4/15/21,466
4/16/21,411
4/17/21,244
4/18/21,199
4/19/21,314
4/20/21,592
4/21/21,464
4/22/21,348
4/23/21,466
4/24/21,280
4/25/21,246
4/26/21,330
4/27/21,525
4/28/21,459
4/29/21,342
4/30/21,409
5/1/21,277
5/2/21,227
5/3/21,261
5/4/21,480
5/5/21,397
5/6/21,384
5/7/21,361
5/8/21,232
5/9/21,208
5/10/21,219
5/11/21,463
5/12/21,416
5/13/21,344
5/14/21,320
5/15/21,247
5/16/21,170
5/17/21,255
5/18/21,427
5/19/21,265
5/20/21,298
5/21/21,260
5/22/21,224
5/23/21,148
5/24/21,189
5/25/21,277
5/26/21,307
5/27/21,275
5/28/21,198
5/29/21,170
5/30/21,140
5/31/21,113
6/1/21,204
6/2/21,338
6/3/21,287
6/4/21,306
6/5/21,220
6/6/21,174
6/7/21,251
6/8/21,368
6/9/21,317
6/10/21,265
6/11/21,356
6/12/21,190
6/13/21,169
6/14/21,239
6/15/21,412
6/16/21,371
6/17/21,323
6/18/21,288
6/19/21,252
6/20/21,161
6/21/21,253
6/22/21,523
6/23/21,458
6/24/21,311
6/25/21,351
6/26/21,280
6/27/21,252
6/28/21,373
6/29/21,565
6/30/21,542
7/1/21,436
7/2/21,478
7/3/21,348
7/4/21,161
7/5/21,164
7/6/21,393
7/7/21,671
7/8/21,649
7/9/21,458
7/10/21,483
7/11/21,261
7/12/21,480
7/13/21,600
7/14/21,692
7/15/21,681
7/16/21,624
7/17/21,514
7/18/21,403
7/19/21,566
7/20/21,866
7/21/21,816
7/22/21,767
7/23/21,668
7/24/21,504
7/25/21,331
7/26/21,613
7/27/21,839
7/28/21,1109
7/29/21,1215
7/30/21,955
7/31/21,787
8/1/21,498
8/2/21,734
8/3/21,1049
8/4/21,1095
8/5/21,895
8/6/21,947
8/7/21,660
8/8/21,402
8/9/21,635
8/10/21,1109
8/11/21,1242
8/12/21,885
8/13/21,1137
8/14/21,881
8/15/21,418
8/16/21,972
8/17/21,1484
8/18/21,1282
8/19/21,1122
8/20/21,1216
8/21/21,860
8/22/21,646
8/23/21,1139
8/24/21,1581
8/25/21,1492
8/26/21,1298
8/27/21,1598
8/28/21,1121
8/29/21,597
8/30/21,1221
8/31/21,1676
9/1/21,1689
9/2/21,1627
9/3/21,1870
9/4/21,1185
9/5/21,916
9/6/21,707
9/7/21,1533
9/8/21,2164
9/9/21,2189
9/10/21,1843
9/11/21,1358
9/12/21,1020
9/13/21,1267
9/14/21,1880
9/15/21,1884
9/16/21,1752
9/17/21,1369
9/18/21,1124
9/19/21,896
9/20/21,1332
9/21/21,1716
9/22/21,1609
9/23/21,1671
9/24/21,1360
9/25/21,1027
9/26/21,794
9/27/21,1123
9/28/21,1793
9/29/21,1696
9/30/21,1721
10/1/21,1369
10/2/21,1078
10/3/21,843
10/4/21,1255
10/5/21,1971
10/6/21,1750
10/7/21,1655
10/8/21,1245
10/9/21,858
10/10/21,1223
10/11/21,1095
10/12/21,1825
10/13/21,1240
10/14/21,1504
10/15/21,1322
10/16/21,1090
10/17/21,631
10/18/21,1350
10/19/21,1378
10/20/21,2342
10/21/21,1640
10/22/21,1673
10/23/21,1248
10/24/21,727
10/25/21,1626
10/26/21,2038
10/27/21,1833
10/28/21,1811
10/29/21,1613
10/30/21,636
10/31/21,966
11/1/21,1271
11/2/21,2116
11/3/21,2256
11/4/21,1878
11/5/21,2020
11/6/21,806
11/7/21,1206
11/8/21,1544
11/9/21,1544
11/10/21,2077
11/11/21,1774
11/12/21,2036
11/13/21,1308
11/14/21,1150
11/15/21,1261
11/16/21,2097
11/17/21,1793
11/18/21,1768
11/19/21,1574
11/20/21,1224
11/21/21,1038
11/22/21,1160
11/23/21,1757
11/24/21,1554
11/25/21,885
11/26/21,558
11/27/21,1014
11/28/21,903
11/29/21,1186
11/30/21,2296
12/1/21,1971
12/2/21,1881
12/3/21,1429
12/4/21,1166
12/5/21,907
12/6/21,1120
12/7/21,1423
12/8/21,1376
12/9/21,1329
12/10/21,1083
12/11/21,874
12/12/21,745
12/13/21,904
12/14/21,1281
12/15/21,1116
12/16/21,1020
12/17/21,910
12/18/21,867
12/19/21,758
12/20/21,806
12/21/21,1384
12/22/21,1271
12/23/21,1480
12/24/21,1307
12/25/21,1215
12/26/21,621
12/27/21,1779
12/28/21,3242
12/29/21,3554
12/30/21,4647
12/31/21,3787
1/1/22,3229
1/2/22,3068
1/3/22,4571
1/4/22,7093
1/5/22,8873
1/6/22,9289
1/7/22,9311
1/8/22,8425
1/9/22,6259
1/10/22,10047
1/11/22,10336
1/12/22,13030
1/13/22,11188
1/14/22,13511
1/15/22,10055
1/16/22,6323
1/17/22,9902
1/18/22,12563
1/19/22,11594
1/20/22,11598
1/21/22,10587
1/22/22,6834
1/23/22,4543
1/24/22,6601
1/25/22,7459
1/26/22,6979
1/27/22,6159
1/28/22,4790
1/29/22,3195
1/30/22,2312
