scenario,engine,engine_version,n,days,replicate,seed,network_sha256,network_edges,mean_degree,target_r0,transmission_multiplier,setup_seconds,simulate_seconds,total_seconds,final_susceptible,final_exposed,final_infected,final_hospitalized,final_recovered,peak_hospitalized,vaccinated,vaccine_protected,fingerprint,timestamp_utc
scenario_00,EoN,1.92,1000,10,1,8675310,7635ee4af91779574edf0c51b32dfc52852948c78f93ddb8b67c2c94252c023d,5000,10.0,2.0,1.0,0.004917694008327089,0.0021790769969811663,0.0070967710053082556,978,4,3,0,15,1,,,d2b98909e9cb8f190f4b4688d440f968f8a20238fee8886022821af0730d325b,2026-09-26T18:05:55.348978+00:00
scenario_00,EoN,1.92,10000,100,1,8675310,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.0484509550005896,0.08356502999959048,0.13201598500018008,5982,140,223,11,3644,22,,,7d62dc24a9e17b7c5bec3f016b8716d480a008ea52af39ad63159bdaff2eaafd,2026-09-26T18:13:21.925953+00:00
scenario_00,EoN,1.92,10000,100,2,8675311,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.04440296700340696,0.07026868899993133,0.11467165600333828,6606,107,190,6,3091,18,,,5804711c7c592da1780bf77e598af57b186779fdb025ae960eafa893918a2cca,2026-09-26T18:13:22.412551+00:00
scenario_00,EoN,1.92,10000,100,3,8675312,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.04788020699925255,0.07075635499495547,0.11863656199420802,6773,98,174,12,2943,19,,,1854a7e7fb6b55d109dbbfa5bd81c7bb42533885bf7c1eea9675eb2b0bb34308,2026-09-26T18:13:22.882533+00:00
scenario_00,EoN,1.92,10000,100,4,8675313,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.04753033400629647,0.07760246099496726,0.12513279500126373,6244,116,234,13,3393,19,,,53f717827a44acc0da752c4495a2f109737e82199ea64749dfc194e35a87bacb,2026-09-26T18:13:23.395180+00:00
scenario_00,EoN,1.92,10000,100,5,8675314,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.04540454599191435,0.07116006300202571,0.11656460899394006,6458,123,170,11,3238,19,,,896d02a0fabecb57f0ff40dc8fa1a15a4f47b75945f467c886a601b8a50efe6c,2026-09-26T18:13:23.860283+00:00
scenario_00,EoN,1.92,10000,100,6,8675315,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.05160253099165857,0.07137951999902725,0.12298205099068582,6636,130,196,8,3030,16,,,6d45c1e031a3d87a11d43fa716e03ce1b52a219230f0c2cb16e1d3901c016058,2026-09-26T18:13:24.336535+00:00
scenario_00,EoN,1.92,10000,100,7,8675316,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.04615683600422926,0.07763762900140136,0.12379446500563063,6037,131,248,17,3567,24,,,34a833c8b0bcf9750613d5776041ec2fffb12839c285c775768965b0ef226ab1,2026-09-26T18:13:24.805599+00:00
scenario_00,EoN,1.92,10000,100,8,8675317,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.04490759001055267,0.07283084899245296,0.11773843900300562,6358,106,190,15,3331,17,,,cdfae8f7036e331128953915744026d9ac7d50208212cfdb6f8ed6f9bd82a2d2,2026-09-26T18:13:25.271900+00:00
scenario_00,EoN,1.92,10000,100,9,8675318,a81eb8a7b4c49dbd245a57ae13561b313c2c060fc6f00249c6dda8fb36336134,50000,10.0,2.0,1.0,0.04416480001236778,0.08462348498869687,0.12878828500106465,5607,182,320,10,3881,24,,,de112c5d2eaa0f6761437550353361b710044809b653d0c706358578abaf6a04,2026-09-26T18:13:25.746957+00:00
